ID,condition,condition_code,acknowledge_purchase,postpurchase_support,interaction,age,gender,initial_confidence,initial_satisfaction,price_sensitivity,PAL1,PAL2,PAL3,PAL4,PAL,TRU1,TRU2,TRU3,TRU4,Trust,CLO1,CLO2,CLO3,CLO4,CLO5,Closure,CFT1,CFT2,CFT3,CFT4,Counterfactual,REG1,REG2,REG3,REG4,Regret,MAN1,MAN2,MAN3,MAN4,MAN5,ManipIntent,IRR1,IRR2,IRR3,IRR4,IRR5,Irritation,choice_reversal,behavior_choice,view_policy,hide_ad
S2-0011,Ack+Support,3,1,1,1,26,Male,6,6,5,5,6,5,6,5.5,6,6,6,6,6.0,6,5,6,6,6,5.8,2,1,2,1,1.5,1,1,3,2,1.75,2,2,1,1,2,1.6,1,2,1,2,2,1.6,0,Retain,0,0
S2-0012,Ack+Alternative,1,1,0,0,35,Female,4,5,4,5,6,6,4,5.25,4,4,4,4,4.0,6,4,3,4,3,4.0,4,5,4,4,4.25,4,5,4,5,4.5,5,5,5,5,5,5.0,2,2,3,4,2,2.6,0,Retain,1,0
S2-0013,NoAck+Support,2,0,1,0,41,Female,6,4,4,4,5,4,5,4.5,6,6,6,6,6.0,4,4,5,5,4,4.4,3,4,3,5,3.75,3,3,3,3,3.0,2,3,2,3,3,2.6,3,2,3,2,2,2.4,0,Retain,0,0
S2-0014,NoAck+Support,2,0,1,0,24,Female,6,5,4,5,5,5,5,5.0,5,4,5,5,4.75,6,7,5,4,5,5.4,2,3,2,3,2.5,2,3,1,1,1.75,1,3,2,1,2,1.8,2,3,2,2,3,2.4,0,Retain,0,1
S2-0015,NoAck+Support,2,0,1,0,36,Female,5,5,5,4,4,5,4,4.25,5,5,5,5,5.0,5,6,5,6,6,5.6,3,3,3,4,3.25,3,4,2,3,3.0,4,3,3,4,3,3.4,3,3,3,4,4,3.4,0,Retain,0,0
S2-0016,Ack+Alternative,1,1,0,0,26,Male,5,5,5,4,4,5,4,4.25,3,2,4,3,3.0,3,3,4,4,3,3.4,5,5,5,4,4.75,5,4,5,5,4.75,5,6,6,6,5,5.6,5,4,5,4,5,4.6,0,Retain,0,0
S2-0017,NoAck+Alternative,0,0,0,0,22,Male,5,6,4,3,4,2,4,3.25,3,4,3,4,3.5,3,2,3,3,3,2.8,4,5,5,5,4.75,4,4,5,6,4.75,4,3,4,3,5,3.8,1,3,3,3,4,2.8,1,Exchange,0,0
S2-0018,Ack+Support,3,1,1,1,18,Female,5,6,4,6,5,6,4,5.25,5,5,5,6,5.25,5,5,5,5,6,5.2,3,3,3,4,3.25,3,2,3,2,2.5,2,2,2,1,2,1.8,4,3,4,3,4,3.6,0,Retain,0,0
S2-0019,Ack+Alternative,1,1,0,0,24,Male,6,6,6,4,5,5,5,4.75,4,5,4,4,4.25,4,4,4,3,3,3.6,4,5,4,5,4.5,4,4,5,4,4.25,4,6,5,5,6,5.2,4,3,4,3,4,3.6,0,Retain,1,0
S2-0020,Ack+Support,3,1,1,1,25,Male,6,5,4,6,6,5,7,6.0,6,5,5,6,5.5,5,7,6,7,7,6.4,2,2,2,2,2.0,2,1,2,2,1.75,3,2,3,3,4,3.0,3,3,3,4,3,3.2,1,Exchange,0,0
S2-0021,Ack+Alternative,1,1,0,0,28,Male,4,7,4,5,5,4,6,5.0,4,3,4,2,3.25,3,3,3,3,2,2.8,6,6,5,6,5.75,5,5,5,7,5.5,5,6,6,6,6,5.8,4,4,4,4,3,3.8,1,Cancel,0,0
S2-0022,Ack+Alternative,1,1,0,0,37,Female,4,4,4,5,5,4,5,4.75,4,4,3,4,3.75,2,2,2,3,1,2.0,5,4,6,4,4.75,5,4,5,5,4.75,6,5,5,7,6,5.8,4,4,4,3,5,4.0,1,Exchange,0,1
S2-0023,NoAck+Support,2,0,1,0,23,Female,6,6,4,4,5,4,3,4.0,6,6,5,3,5.0,5,5,4,5,5,4.8,3,2,2,3,2.5,3,2,2,3,2.5,3,5,3,4,3,3.6,3,2,2,2,2,2.2,0,Retain,0,0
S2-0024,NoAck+Support,2,0,1,0,35,Female,4,3,6,4,4,4,5,4.25,4,4,5,5,4.5,6,5,4,5,6,5.2,2,1,2,1,1.5,2,3,3,4,3.0,3,3,3,2,4,3.0,2,2,2,2,2,2.0,0,Retain,0,0
S2-0025,Ack+Support,3,1,1,1,30,Female,5,6,7,6,5,5,5,5.25,5,6,4,5,5.0,4,5,5,6,5,5.0,3,2,2,3,2.5,3,2,1,3,2.25,2,2,2,3,3,2.4,2,1,2,3,2,2.0,0,Retain,0,0
S2-0026,Ack+Alternative,1,1,0,0,20,Male,5,4,4,5,6,6,5,5.5,4,4,3,5,4.0,4,4,4,5,4,4.2,3,4,5,4,4.0,3,3,4,3,3.25,5,5,6,5,7,5.6,5,5,5,4,5,4.8,0,Retain,0,0
S2-0027,NoAck+Alternative,0,0,0,0,28,Male,7,5,4,3,3,3,2,2.75,3,4,4,4,3.75,3,4,3,5,4,3.8,4,5,4,5,4.5,4,5,5,6,5.0,4,4,4,3,4,3.8,4,3,4,4,4,3.8,0,Retain,0,0
S2-0028,NoAck+Support,2,0,1,0,41,Female,5,5,7,3,5,3,4,3.75,4,4,4,4,4.0,5,7,5,5,5,5.4,2,2,3,2,2.25,3,2,2,2,2.25,3,4,3,4,4,3.6,2,2,3,2,3,2.4,0,Retain,0,0
S2-0029,NoAck+Alternative,0,0,0,0,34,Female,7,4,5,4,4,3,3,3.5,3,2,2,2,2.25,4,3,4,4,3,3.6,3,4,4,4,3.75,4,4,4,4,4.0,5,5,5,5,5,5.0,3,3,4,4,5,3.8,0,Retain,0,1
S2-0030,Ack+Alternative,1,1,0,0,24,Female,5,6,3,5,5,6,6,5.5,4,3,3,3,3.25,4,3,4,2,3,3.2,4,3,4,5,4.0,3,4,4,4,3.75,5,6,6,6,7,6.0,4,3,3,4,3,3.4,1,Exchange,0,0
S2-0031,Ack+Support,3,1,1,1,29,Female,4,4,7,5,7,6,7,6.25,5,5,6,6,5.5,7,7,7,7,7,7.0,3,2,2,2,2.25,1,2,1,2,1.5,2,2,2,1,2,1.8,3,2,3,3,2,2.6,0,Retain,0,0
S2-0032,NoAck+Alternative,0,0,0,0,33,Female,5,5,4,4,4,4,4,4.0,4,2,4,4,3.5,2,3,3,2,3,2.6,5,6,5,5,5.25,5,4,4,5,4.5,3,4,3,2,2,2.8,4,4,5,5,5,4.6,0,Retain,0,1
S2-0033,NoAck+Alternative,0,0,0,0,42,Female,5,6,3,5,5,6,4,5.0,4,4,4,5,4.25,3,4,3,2,3,3.0,5,6,6,4,5.25,4,4,4,4,4.0,4,4,4,4,5,4.2,2,2,1,2,4,2.2,0,Retain,0,1
S2-0034,NoAck+Support,2,0,1,0,19,Female,6,6,5,6,5,4,4,4.75,4,5,4,5,4.5,5,5,6,6,5,5.4,3,2,3,3,2.75,3,3,3,3,3.0,3,3,4,3,3,3.2,1,2,2,1,2,1.6,0,Retain,0,0
S2-0035,NoAck+Alternative,0,0,0,0,33,Male,6,4,5,4,3,3,3,3.25,3,5,3,3,3.5,3,3,3,4,3,3.2,5,5,5,5,5.0,4,5,4,5,4.5,5,5,5,4,5,4.8,4,4,4,4,3,3.8,0,Retain,0,0
S2-0036,NoAck+Support,2,0,1,0,21,Male,5,6,3,4,5,5,5,4.75,4,5,5,6,5.0,5,5,5,5,5,5.0,2,3,3,3,2.75,3,3,3,3,3.0,4,5,5,3,4,4.2,3,4,4,3,2,3.2,1,Exchange,1,0
S2-0037,NoAck+Alternative,0,0,0,0,37,Male,5,6,3,3,3,3,3,3.0,4,4,4,4,4.0,3,4,4,3,4,3.6,3,4,6,5,4.5,4,3,4,4,3.75,5,4,4,5,4,4.4,3,3,3,3,3,3.0,0,Retain,0,0
S2-0038,NoAck+Alternative,0,0,0,0,30,Male,6,5,5,3,3,2,3,2.75,3,3,3,3,3.0,3,4,4,4,4,3.8,4,5,5,5,4.75,5,4,5,4,4.5,4,5,4,5,5,4.6,5,4,4,4,5,4.4,0,Retain,0,0
S2-0039,Ack+Alternative,1,1,0,0,28,Female,5,4,5,5,6,5,4,5.0,4,4,4,4,4.0,3,3,3,3,3,3.0,5,5,5,5,5.0,4,5,5,3,4.25,6,6,6,6,7,6.2,5,6,5,5,5,5.2,0,Retain,1,0
S2-0040,Ack+Alternative,1,1,0,0,33,Female,6,4,6,6,4,6,6,5.5,3,3,3,4,3.25,4,3,4,3,3,3.4,6,5,5,6,5.5,5,5,4,5,4.75,6,5,5,5,5,5.2,5,4,4,4,4,4.2,1,Cancel,0,1
S2-0041,Ack+Support,3,1,1,1,30,Female,4,6,5,5,5,6,6,5.5,5,5,5,6,5.25,7,6,6,6,7,6.4,2,2,3,3,2.5,2,2,3,1,2.0,2,2,1,1,1,1.4,3,2,4,3,2,2.8,0,Retain,0,0
S2-0042,NoAck+Alternative,0,0,0,0,25,Female,5,6,5,4,5,5,4,4.5,3,4,3,3,3.25,3,4,3,5,3,3.6,4,5,4,3,4.0,4,5,6,5,5.0,4,3,4,4,4,3.8,4,6,4,5,4,4.6,0,Retain,0,0
S2-0043,NoAck+Support,2,0,1,0,26,Male,6,3,7,5,4,4,4,4.25,4,5,4,4,4.25,5,5,5,6,5,5.2,3,2,3,3,2.75,2,2,2,1,1.75,4,3,3,3,2,3.0,4,3,4,4,3,3.6,0,Retain,1,0
S2-0044,NoAck+Alternative,0,0,0,0,38,Male,5,5,6,3,3,4,4,3.5,4,3,3,3,3.25,2,4,3,3,4,3.2,4,4,5,4,4.25,4,4,4,5,4.25,5,5,5,6,6,5.4,5,4,4,5,5,4.6,1,Exchange,0,0
S2-0045,Ack+Alternative,1,1,0,0,18,Male,7,6,6,5,5,5,4,4.75,3,3,3,3,3.0,4,3,3,3,4,3.4,5,4,5,5,4.75,5,4,4,5,4.5,6,6,7,6,7,6.4,4,4,4,4,4,4.0,0,Retain,0,0
S2-0046,Ack+Support,3,1,1,1,28,Male,5,7,4,5,6,7,6,6.0,5,4,4,6,4.75,6,5,5,5,4,5.0,3,3,3,4,3.25,3,3,3,3,3.0,1,2,2,3,2,2.0,1,2,1,1,1,1.2,0,Retain,0,0
S2-0047,NoAck+Alternative,0,0,0,0,27,Male,6,5,4,3,4,4,4,3.75,3,3,4,3,3.25,4,3,3,4,4,3.6,4,4,4,4,4.0,4,4,5,5,4.5,7,7,6,6,5,6.2,4,3,3,3,3,3.2,0,Retain,0,0
S2-0048,Ack+Support,3,1,1,1,32,Male,6,7,5,5,5,4,5,4.75,5,5,4,6,5.0,6,5,7,6,6,6.0,2,3,2,2,2.25,2,1,1,2,1.5,3,2,3,1,3,2.4,4,3,3,4,3,3.4,0,Retain,0,0
S2-0049,NoAck+Alternative,0,0,0,0,18,Female,4,5,6,3,4,3,3,3.25,4,2,4,4,3.5,4,3,4,4,4,3.8,5,5,4,4,4.5,5,4,5,4,4.5,3,5,4,4,4,4.0,4,3,4,4,5,4.0,0,Retain,0,0
S2-0050,Ack+Support,3,1,1,1,24,Male,5,5,6,6,5,6,6,5.75,4,4,4,5,4.25,5,5,6,5,6,5.4,3,2,1,4,2.5,3,2,1,3,2.25,4,4,4,4,3,3.8,3,2,2,2,2,2.2,1,Cancel,0,0
S2-0051,NoAck+Alternative,0,0,0,0,34,Male,6,5,5,3,3,3,4,3.25,3,3,3,3,3.0,3,4,3,3,3,3.2,5,4,4,5,4.5,4,5,3,4,4.0,3,5,4,3,5,4.0,4,3,3,4,3,3.4,0,Retain,0,0
S2-0052,NoAck+Alternative,0,0,0,0,49,Female,6,7,6,4,3,4,5,4.0,3,4,4,4,3.75,3,4,4,4,3,3.6,3,4,4,5,4.0,4,4,4,5,4.25,5,3,4,4,4,4.0,4,4,3,4,4,3.8,1,Exchange,0,0
S2-0053,NoAck+Support,2,0,1,0,27,Male,5,5,4,4,4,4,3,3.75,5,5,5,5,5.0,4,5,5,7,4,5.0,2,3,2,3,2.5,3,3,3,3,3.0,2,2,2,2,2,2.0,2,1,3,2,3,2.2,0,Retain,1,0
S2-0054,NoAck+Support,2,0,1,0,18,Female,5,4,3,4,5,4,5,4.5,5,4,5,4,4.5,5,5,6,5,5,5.2,3,2,4,4,3.25,2,2,2,2,2.0,4,3,3,3,3,3.2,2,4,3,2,4,3.0,0,Retain,0,0
S2-0055,Ack+Alternative,1,1,0,0,31,Nonbinary/Other,4,5,6,6,5,5,5,5.25,4,4,4,4,4.0,4,2,2,3,2,2.6,5,5,6,5,5.25,6,6,5,6,5.75,5,6,5,6,6,5.6,6,5,5,5,6,5.4,1,Exchange,1,0
S2-0056,NoAck+Alternative,0,0,0,0,26,Male,6,5,5,4,3,3,4,3.5,4,5,4,4,4.25,4,4,3,4,3,3.6,4,4,5,5,4.5,4,4,4,5,4.25,4,3,3,4,4,3.6,3,4,4,3,4,3.6,0,Retain,0,0
S2-0057,Ack+Alternative,1,1,0,0,20,Female,6,5,6,5,5,4,5,4.75,3,4,3,3,3.25,4,4,5,4,4,4.2,4,5,5,5,4.75,5,4,5,4,4.5,6,6,5,6,6,5.8,4,4,4,5,6,4.6,0,Retain,1,1
S2-0058,NoAck+Support,2,0,1,0,29,Male,6,4,6,3,3,4,3,3.25,6,3,5,5,4.75,6,6,6,6,7,6.2,2,2,2,2,2.0,3,2,2,2,2.25,1,2,1,2,1,1.4,3,4,3,4,3,3.4,0,Retain,0,0
S2-0059,Ack+Alternative,1,1,0,0,19,Female,6,5,6,5,5,7,4,5.25,4,4,6,4,4.5,3,4,3,4,3,3.4,5,5,4,5,4.75,4,5,4,5,4.5,5,5,5,6,5,5.2,4,4,5,4,5,4.4,0,Retain,0,1
S2-0060,NoAck+Alternative,0,0,0,0,32,Male,5,6,3,4,4,4,5,4.25,4,2,4,4,3.5,3,4,4,4,4,3.8,4,4,4,5,4.25,3,3,3,3,3.0,4,3,3,3,4,3.4,4,4,3,3,4,3.6,0,Retain,0,0
S2-0061,Ack+Alternative,1,1,0,0,24,Male,5,5,4,4,5,5,5,4.75,2,2,1,2,1.75,3,4,3,3,3,3.2,6,6,6,6,6.0,6,6,6,6,6.0,5,4,6,5,5,5.0,4,5,5,5,5,4.8,0,Retain,0,0
S2-0062,Ack+Support,3,1,1,1,31,Male,5,5,4,6,6,5,6,5.75,6,5,6,6,5.75,5,5,6,6,6,5.6,2,2,2,4,2.5,2,1,1,2,1.5,2,2,2,3,2,2.2,3,2,3,3,3,2.8,0,Retain,0,0
S2-0063,Ack+Alternative,1,1,0,0,38,Female,5,5,4,6,5,5,4,5.0,4,5,5,4,4.5,3,2,2,3,2,2.4,6,6,5,4,5.25,5,6,5,5,5.25,4,5,4,5,5,4.6,4,4,3,4,4,3.8,1,Exchange,0,0
S2-0064,Ack+Alternative,1,1,0,0,31,Female,5,5,5,5,6,5,5,5.25,4,5,3,4,4.0,3,3,3,3,2,2.8,4,4,4,5,4.25,4,4,4,4,4.0,6,6,6,5,6,5.8,5,4,4,4,3,4.0,0,Retain,0,0
S2-0065,NoAck+Alternative,0,0,0,0,45,Male,4,5,5,3,5,4,4,4.0,4,4,5,3,4.0,4,3,4,4,4,3.8,5,5,6,5,5.25,5,6,6,6,5.75,4,4,4,3,4,3.8,3,3,3,3,4,3.2,0,Retain,1,0
S2-0066,Ack+Alternative,1,1,0,0,24,Female,6,5,6,4,4,4,5,4.25,4,3,5,3,3.75,3,5,3,4,3,3.6,4,4,4,4,4.0,5,4,4,5,4.5,4,5,5,4,4,4.4,3,3,4,5,4,3.8,0,Retain,1,0
S2-0067,NoAck+Support,2,0,1,0,23,Male,6,5,4,4,5,4,5,4.5,4,4,4,4,4.0,6,6,6,6,6,6.0,1,2,2,2,1.75,2,2,1,1,1.5,2,3,3,3,3,2.8,3,2,2,3,2,2.4,0,Retain,0,0
S2-0068,NoAck+Support,2,0,1,0,40,Male,7,5,5,4,4,4,6,4.5,4,5,5,5,4.75,5,5,7,6,5,5.6,1,1,1,2,1.25,1,1,2,1,1.25,4,3,2,3,4,3.2,2,3,3,3,3,2.8,0,Retain,0,0
S2-0069,Ack+Alternative,1,1,0,0,25,Female,6,6,5,5,5,6,6,5.5,4,3,2,3,3.0,2,2,3,3,2,2.4,4,6,7,5,5.5,6,6,5,6,5.75,6,6,6,5,7,6.0,4,5,4,5,5,4.6,0,Retain,1,1
S2-0070,Ack+Alternative,1,1,0,0,28,Male,5,5,6,5,5,4,4,4.5,4,2,3,3,3.0,3,2,2,4,2,2.6,4,5,5,5,4.75,5,5,5,6,5.25,6,6,5,5,6,5.6,4,4,5,5,5,4.6,1,Exchange,0,0
S2-0071,NoAck+Alternative,0,0,0,0,44,Male,5,5,4,3,5,4,3,3.75,4,3,4,3,3.5,4,4,3,5,4,4.0,5,5,7,4,5.25,4,5,4,5,4.5,3,4,4,5,4,4.0,5,3,4,4,3,3.8,0,Retain,0,0
S2-0072,Ack+Alternative,1,1,0,0,34,Female,4,6,5,6,5,5,5,5.25,5,6,5,5,5.25,3,2,3,2,2,2.4,5,7,5,6,5.75,7,6,6,7,6.5,5,5,5,4,4,4.6,4,4,4,5,5,4.4,1,Exchange,1,1
S2-0073,NoAck+Alternative,0,0,0,0,29,Male,6,6,3,4,3,3,3,3.25,4,4,3,3,3.5,2,3,2,2,2,2.2,5,7,5,5,5.5,5,6,6,6,5.75,4,4,4,4,4,4.0,4,4,4,5,4,4.2,0,Retain,0,0
S2-0074,Ack+Support,3,1,1,1,38,Female,4,5,3,6,5,6,7,6.0,6,7,5,6,6.0,6,5,6,6,6,5.8,2,2,1,3,2.0,2,2,1,2,1.75,2,1,2,2,2,1.8,2,3,2,3,3,2.6,0,Retain,0,0
S2-0075,Ack+Support,3,1,1,1,18,Male,4,4,4,5,6,5,7,5.75,5,5,5,6,5.25,6,7,5,6,6,6.0,1,2,3,2,2.0,3,2,2,2,2.25,3,3,3,2,2,2.6,3,2,2,2,2,2.2,0,Retain,0,0
S2-0076,NoAck+Support,2,0,1,0,30,Male,5,4,4,4,4,3,4,3.75,4,4,4,5,4.25,5,5,5,5,6,5.2,3,4,4,3,3.5,2,3,2,2,2.25,3,2,3,3,2,2.6,3,2,3,2,3,2.6,0,Retain,0,0
S2-0077,Ack+Alternative,1,1,0,0,42,Nonbinary/Other,4,5,4,6,5,5,5,5.25,4,4,3,3,3.5,4,5,3,4,4,4.0,4,4,4,4,4.0,4,4,5,4,4.25,6,6,6,5,5,5.6,5,4,5,4,5,4.6,0,Retain,0,0
S2-0078,NoAck+Alternative,0,0,0,0,36,Female,6,6,3,4,2,4,2,3.0,3,4,5,4,4.0,4,4,4,4,3,3.8,6,5,5,6,5.5,5,5,5,5,5.0,4,3,4,5,5,4.2,4,4,4,4,4,4.0,0,Retain,1,1
S2-0079,Ack+Alternative,1,1,0,0,20,Male,4,5,4,5,6,6,6,5.75,4,3,3,4,3.5,3,2,3,4,3,3.0,5,6,5,6,5.5,5,5,6,6,5.5,6,6,7,5,5,5.8,4,5,4,4,3,4.0,0,Retain,0,0
S2-0080,NoAck+Support,2,0,1,0,29,Male,6,6,7,5,3,4,3,3.75,4,5,5,5,4.75,4,4,5,5,5,4.6,3,2,4,3,3.0,2,2,2,2,2.0,3,4,4,2,3,3.2,3,3,4,4,4,3.6,0,Retain,0,0
S2-0081,NoAck+Support,2,0,1,0,23,Female,5,5,5,4,6,6,5,5.25,5,4,4,4,4.25,4,4,5,5,4,4.4,3,3,3,4,3.25,3,3,3,4,3.25,3,3,4,4,4,3.6,2,3,4,2,2,2.6,1,Cancel,0,0
S2-0082,NoAck+Support,2,0,1,0,21,Female,5,6,5,4,5,4,4,4.25,6,5,5,5,5.25,5,4,4,5,5,4.6,3,2,4,2,2.75,1,2,2,1,1.5,3,3,2,2,2,2.4,1,2,1,1,2,1.4,0,Retain,0,0
S2-0083,NoAck+Alternative,0,0,0,0,23,Male,5,5,3,4,4,4,5,4.25,4,5,5,5,4.75,2,3,2,3,3,2.6,5,5,6,7,5.75,6,5,6,6,5.75,4,4,4,4,5,4.2,3,3,3,3,3,3.0,0,Retain,0,1
S2-0084,Ack+Alternative,1,1,0,0,18,Female,5,5,6,5,6,6,6,5.75,5,4,4,5,4.5,2,3,4,3,3,3.0,4,5,4,4,4.25,5,5,4,6,5.0,6,6,6,6,7,6.2,4,3,5,3,5,4.0,0,Retain,1,1
S2-0085,NoAck+Support,2,0,1,0,28,Female,6,4,5,4,3,4,4,3.75,5,4,4,4,4.25,6,6,5,6,6,5.8,3,3,3,3,3.0,2,3,2,2,2.25,3,3,2,2,2,2.4,4,4,5,3,3,3.8,0,Retain,0,0
S2-0086,NoAck+Support,2,0,1,0,36,Female,5,3,3,4,5,4,3,4.0,5,4,5,5,4.75,5,6,4,6,7,5.6,3,2,2,2,2.25,3,2,3,3,2.75,3,2,3,3,2,2.6,4,3,3,4,3,3.4,0,Retain,0,0
S2-0087,NoAck+Support,2,0,1,0,20,Female,5,6,3,4,5,5,6,5.0,5,5,5,4,4.75,4,5,4,6,6,5.0,2,4,3,4,3.25,3,3,3,4,3.25,3,3,3,3,2,2.8,3,4,2,2,3,2.8,0,Retain,0,0
S2-0088,Ack+Alternative,1,1,0,0,18,Female,6,7,6,4,5,6,4,4.75,4,4,3,5,4.0,2,4,3,3,4,3.2,6,6,5,5,5.5,5,5,5,6,5.25,5,7,6,5,6,5.8,5,4,6,4,4,4.6,0,Retain,1,0
S2-0089,Ack+Support,3,1,1,1,24,Female,4,6,5,5,6,4,5,5.0,6,6,6,4,5.5,6,6,6,6,5,5.8,2,1,2,2,1.75,1,3,2,1,1.75,3,3,2,2,2,2.4,2,3,2,2,2,2.2,0,Retain,0,0
S2-0090,Ack+Alternative,1,1,0,0,25,Nonbinary/Other,4,7,2,4,4,3,4,3.75,4,3,4,3,3.5,5,3,3,3,3,3.4,3,4,5,4,4.0,4,3,5,4,4.0,5,6,4,5,5,5.0,4,4,5,4,3,4.0,1,Cancel,0,0
S2-0091,Ack+Support,3,1,1,1,26,Male,6,6,6,6,5,6,6,5.75,5,6,6,7,6.0,5,5,5,5,6,5.2,1,3,2,2,2.0,2,3,2,2,2.25,2,2,2,2,3,2.2,2,4,3,3,3,3.0,0,Retain,0,0
S2-0092,NoAck+Support,2,0,1,0,26,Female,6,6,5,5,4,4,4,4.25,4,4,5,3,4.0,4,4,3,4,4,3.8,3,3,3,3,3.0,2,2,2,2,2.0,3,3,2,3,3,2.8,2,3,2,2,3,2.4,0,Retain,0,0
S2-0093,NoAck+Support,2,0,1,0,42,Nonbinary/Other,5,4,5,5,5,5,5,5.0,5,4,4,4,4.25,5,5,4,4,5,4.6,4,3,2,4,3.25,3,3,4,4,3.5,4,4,4,4,5,4.2,4,4,3,4,3,3.6,0,Retain,0,0
S2-0094,NoAck+Alternative,0,0,0,0,28,Female,7,5,7,3,4,4,5,4.0,3,4,3,3,3.25,3,4,3,3,3,3.2,4,5,5,5,4.75,4,5,4,4,4.25,4,5,5,4,5,4.6,5,5,5,4,5,4.8,0,Retain,0,0
S2-0095,NoAck+Alternative,0,0,0,0,40,Male,4,4,3,3,3,2,3,2.75,3,3,4,3,3.25,4,5,5,5,4,4.6,4,5,5,5,4.75,4,4,3,5,4.0,4,3,5,4,5,4.2,3,3,4,3,3,3.2,0,Retain,0,0
S2-0096,Ack+Support,3,1,1,1,28,Male,5,4,5,4,5,6,5,5.0,5,5,5,4,4.75,5,5,6,5,6,5.4,3,2,3,3,2.75,2,3,3,2,2.5,3,4,4,4,4,3.8,2,2,2,3,3,2.4,0,Retain,0,0
S2-0097,Ack+Support,3,1,1,1,31,Female,4,7,5,5,6,6,6,5.75,5,5,5,5,5.0,6,6,6,7,6,6.2,1,1,2,2,1.5,2,1,1,2,1.5,2,2,2,1,3,2.0,3,2,2,1,2,2.0,0,Retain,0,0
S2-0098,NoAck+Support,2,0,1,0,29,Male,5,7,5,4,4,4,5,4.25,4,4,4,5,4.25,5,4,4,4,4,4.2,3,3,3,3,3.0,4,3,3,3,3.25,2,2,2,4,2,2.4,2,3,2,4,3,2.8,1,Exchange,0,0
S2-0099,NoAck+Support,2,0,1,0,28,Male,4,5,4,3,4,4,4,3.75,4,3,3,4,3.5,4,4,5,4,5,4.4,4,3,3,2,3.0,3,2,3,3,2.75,3,3,3,3,3,3.0,4,4,3,3,4,3.6,1,Exchange,0,0
S2-0100,NoAck+Alternative,0,0,0,0,38,Male,5,5,5,3,3,3,5,3.5,3,3,4,3,3.25,4,4,4,3,3,3.6,6,4,4,6,5.0,4,4,4,3,3.75,3,5,4,5,4,4.2,4,4,4,5,5,4.4,1,Exchange,0,0
