ID,condition,condition_code,age,gender,initial_confidence,initial_satisfaction,choice_difficulty,product_involvement,category_knowledge,prior_return_frequency,platform_use_frequency,ad_skepticism,maximizing_tendency,price_sensitivity,IDN1,IDN2,IDN3,SIM1,SIM2,SIM3,ADV1,ADV2,ADV3,REP1,REP2,REP3,PAL1,PAL2,PAL3,PAL4,TRU1,TRU2,TRU3,TRU4,CLO1,CLO2,CLO3,CLO4,CLO5,CFT1,CFT2,CFT3,CFT4,REG1,REG2,REG3,REG4,RET1,RET2,RET3,RET4,RET5,AVO1,AVO2,AVO3,AVO4,AVO5,IRR1,IRR2,IRR3,IRR4,IRR5,ACC1,ACC2,ACC3,FIT1,FIT2,FIT3,PAL,Trust,Closure,Counterfactual,Regret,Return,Avoidance,Irritation,Accuracy,CurrentFit,same_vs_rest,superior_vs_rest
S1-0011,Unrelated,0,29,Nonbinary/Other,4,4,4,5,5,2,4,3,4,5,2,1,2,2,2,1,1,2,1,2,2,1,6,6,6,6,6,5,5,5,6,6,6,5,5,3,2,3,3,3,2,2,3,2,3,3,2,5,2,3,1,2,2,3,3,2,3,2,4,4,5,4,3,5,6.0,5.25,5.6,2.75,2.5,2.6,2.0,2.6,4.333333333333333,4.0,-0.3333333333333333,-0.3333333333333333
S1-0012,Similar-product,2,23,Female,5,4,4,7,4,3,5,4,4,5,2,3,3,6,6,6,3,3,3,4,4,4,4,3,3,3,4,3,3,5,3,4,4,5,4,4,3,4,3,4,4,5,4,3,2,2,2,5,3,5,4,5,5,4,4,4,4,4,5,4,4,3,3,4,3.25,3.75,4.0,3.5,4.25,2.4,4.4,4.0,4.333333333333333,3.3333333333333335,-0.3333333333333333,-0.3333333333333333
S1-0013,Same-product,1,24,Male,7,4,5,4,5,3,4,4,3,5,6,5,6,7,7,7,3,3,3,5,6,6,4,4,5,5,4,5,5,5,4,5,5,4,4,4,3,4,4,2,2,3,3,4,3,3,3,4,4,3,4,4,3,5,4,4,5,4,5,4,5,3,2,3,4.5,4.75,4.4,3.75,2.5,3.4,3.6,4.4,4.666666666666667,2.6666666666666665,1.0,-0.3333333333333333
S1-0014,Same-product,1,18,Female,5,4,5,4,5,4,5,4,4,5,5,5,6,7,6,7,1,2,1,7,7,6,3,3,3,3,4,4,3,4,4,4,5,4,5,3,3,3,4,2,3,3,2,3,2,2,2,5,5,5,5,5,6,6,5,6,6,5,5,5,5,3,4,4,3.0,3.75,4.4,3.25,2.5,2.4,5.2,5.6,5.0,3.6666666666666665,1.0,-0.3333333333333333
S1-0015,Similar-product,2,31,Male,5,6,4,6,3,2,7,5,6,4,2,2,1,6,6,6,3,3,3,3,3,3,6,5,5,5,4,5,4,5,6,6,5,6,6,3,4,3,3,4,3,4,4,3,4,2,3,5,2,2,2,2,3,4,3,4,4,3,5,5,5,4,4,3,5.25,4.5,5.8,3.25,3.75,3.0,2.2,3.6,5.0,3.6666666666666665,-0.3333333333333333,-0.3333333333333333
S1-0016,Superior-alternative,3,27,Female,4,5,3,5,2,2,5,4,5,4,2,1,2,6,7,6,5,5,6,5,4,4,6,6,6,5,5,5,5,5,4,4,4,4,4,5,6,5,6,5,4,5,5,5,4,4,4,3,5,4,4,4,5,5,4,5,5,5,6,5,5,3,4,3,5.75,5.0,4.0,5.5,4.75,4.4,4.4,4.8,5.333333333333333,3.3333333333333335,-0.3333333333333333,1.0
S1-0017,Superior-alternative,3,28,Female,5,6,3,4,6,3,5,3,5,5,2,2,3,5,5,6,6,7,7,5,5,5,4,4,5,3,5,2,4,4,3,3,3,4,4,5,4,5,4,4,6,5,5,4,5,5,6,1,3,3,3,3,3,2,2,2,3,2,6,4,5,3,4,4,4.0,3.75,3.4,4.5,5.0,5.4,3.0,2.2,5.0,3.6666666666666665,-0.3333333333333333,1.0
S1-0018,Unrelated,0,33,Female,5,5,4,6,6,3,3,5,4,5,3,2,2,2,2,2,2,2,3,2,3,3,5,6,4,4,5,4,4,4,5,5,6,5,7,3,2,3,2,4,2,2,1,2,2,2,1,7,3,4,3,3,4,3,2,3,3,3,2,3,2,4,5,4,4.75,4.25,5.6,2.5,2.25,1.6,3.4,2.8,2.3333333333333335,4.333333333333333,-0.3333333333333333,-0.3333333333333333
S1-0019,Unrelated,0,33,Female,5,5,3,7,4,2,6,3,5,3,2,1,2,2,1,2,3,2,2,3,2,2,5,5,6,4,5,6,6,6,6,7,6,6,7,2,2,2,1,2,2,2,3,3,1,3,1,6,2,2,2,2,2,3,3,2,2,3,3,2,3,4,3,3,5.0,5.75,6.4,1.75,2.25,2.0,2.0,2.6,2.6666666666666665,3.3333333333333335,-0.3333333333333333,-0.3333333333333333
S1-0020,Similar-product,2,39,Female,6,6,3,3,4,3,5,5,5,5,2,3,1,7,6,6,4,3,4,4,5,4,5,5,4,5,5,5,3,4,3,4,4,4,3,4,4,3,3,3,4,4,4,3,3,2,2,5,4,3,3,4,4,4,4,3,2,3,4,5,4,4,3,4,4.75,4.25,3.6,3.5,3.75,2.6,3.6,3.2,4.333333333333333,3.6666666666666665,-0.3333333333333333,-0.3333333333333333
S1-0021,Same-product,1,35,Male,4,4,3,4,4,2,5,4,7,4,6,6,6,6,6,6,2,2,2,6,6,6,5,6,4,5,4,5,4,3,3,5,4,4,4,3,4,4,3,2,3,3,3,1,1,3,2,6,5,5,5,5,5,5,5,5,5,5,6,5,4,2,3,1,5.0,4.0,4.0,3.5,2.75,1.8,5.0,5.0,5.0,2.0,1.0,-0.3333333333333333
S1-0022,Superior-alternative,3,25,Female,5,6,2,3,5,3,6,3,4,6,2,1,2,7,5,6,5,5,5,4,4,5,5,5,5,5,4,5,4,6,4,3,3,4,4,4,4,5,5,5,4,5,6,5,4,5,5,3,4,4,4,4,4,6,6,6,5,5,4,5,5,4,4,4,5.0,4.75,3.6,4.5,5.0,4.8,4.0,5.6,4.666666666666667,4.0,-0.3333333333333333,1.0
S1-0023,Unrelated,0,24,Female,5,5,2,3,5,3,5,6,5,6,2,1,2,2,2,2,1,2,2,2,2,2,5,5,6,5,5,6,5,6,5,6,5,5,6,2,3,2,3,2,3,3,2,2,2,2,2,6,2,2,2,2,3,2,2,2,2,2,3,2,3,4,4,4,5.25,5.5,5.4,2.5,2.5,2.0,2.2,2.0,2.6666666666666665,4.0,-0.3333333333333333,-0.3333333333333333
S1-0024,Superior-alternative,3,41,Male,5,4,4,3,2,3,6,6,4,5,3,2,1,5,6,6,5,5,6,4,4,3,4,5,5,5,4,3,3,4,2,4,3,2,3,4,6,5,5,5,5,5,5,5,5,5,6,3,5,4,4,3,4,3,4,5,4,5,5,5,4,3,4,3,4.75,3.5,2.8,5.0,5.0,5.2,4.0,4.2,4.666666666666667,3.3333333333333335,-0.3333333333333333,1.0
S1-0025,Superior-alternative,3,31,Female,4,6,1,4,6,4,4,6,5,5,2,2,2,4,5,6,5,6,7,3,5,4,5,6,5,5,4,4,5,5,2,2,2,2,2,5,6,6,7,6,5,6,5,4,5,5,5,2,5,4,4,4,5,5,5,6,5,5,3,5,5,3,2,2,5.25,4.5,2.0,6.0,5.5,5.0,4.4,5.2,4.333333333333333,2.3333333333333335,-0.3333333333333333,1.0
S1-0026,Superior-alternative,3,36,Male,7,5,2,3,7,1,6,4,6,5,2,1,1,6,6,6,5,6,6,4,4,3,4,4,4,4,5,5,4,5,3,3,3,4,3,5,4,5,5,4,5,5,5,6,5,5,5,3,4,3,4,3,2,3,4,3,3,3,6,6,5,4,4,4,4.0,4.75,3.2,4.75,4.75,5.2,3.2,3.2,5.666666666666667,4.0,-0.3333333333333333,1.0
S1-0027,Unrelated,0,21,Male,6,5,4,5,4,3,7,6,5,6,2,1,2,1,1,1,2,1,1,2,2,1,6,5,5,5,5,4,5,4,5,6,5,6,7,3,2,2,2,3,2,3,3,3,2,1,2,6,3,3,3,2,3,4,3,3,4,3,5,4,4,4,5,4,5.25,4.5,5.8,2.25,2.75,2.0,2.8,3.4,4.333333333333333,4.333333333333333,-0.3333333333333333,-0.3333333333333333
S1-0028,Superior-alternative,3,28,Female,6,5,1,4,5,2,3,3,5,4,1,1,1,4,5,5,6,6,6,3,4,4,3,3,2,3,3,3,3,3,3,3,2,3,5,5,4,4,5,5,5,5,5,4,5,6,6,3,4,4,4,5,5,3,2,3,4,4,4,5,5,3,2,2,2.75,3.0,3.2,4.5,5.0,5.2,4.4,3.2,4.666666666666667,2.3333333333333335,-0.3333333333333333,1.0
S1-0029,Similar-product,2,38,Female,6,5,4,6,4,3,7,6,5,4,2,3,1,7,7,6,3,4,4,4,4,5,3,3,3,5,3,4,3,4,4,5,4,5,5,3,4,3,3,3,3,3,2,4,3,3,2,4,5,5,4,5,5,5,4,4,4,4,5,4,3,4,5,4,3.5,3.5,4.6,3.25,2.75,3.2,4.8,4.2,4.0,4.333333333333333,-0.3333333333333333,-0.3333333333333333
S1-0030,Superior-alternative,3,19,Male,6,3,5,5,3,1,5,3,5,4,2,2,2,6,6,6,5,6,6,5,4,4,4,4,5,5,3,5,4,4,4,4,4,2,3,4,5,5,5,4,4,5,4,4,3,4,4,3,4,4,4,4,5,4,4,4,5,5,4,4,4,3,3,3,4.5,4.0,3.4,4.75,4.25,4.0,4.2,4.4,4.0,3.0,-0.3333333333333333,1.0
S1-0031,Similar-product,2,38,Male,5,5,5,7,5,2,4,5,3,5,2,2,2,5,6,5,3,3,3,4,4,4,5,4,4,4,4,4,3,3,3,4,5,4,3,4,4,4,2,4,4,4,4,3,3,3,3,6,4,5,5,4,5,4,3,4,3,4,5,5,6,2,3,4,4.25,3.5,3.8,3.5,4.0,2.8,4.6,3.6,5.333333333333333,3.0,-0.3333333333333333,-0.3333333333333333
S1-0032,Superior-alternative,3,25,Male,6,7,3,5,6,4,6,3,6,6,2,2,1,5,5,6,6,6,6,4,5,5,5,6,5,5,4,5,5,4,2,2,2,2,3,5,4,5,5,4,5,4,6,3,3,5,4,4,4,4,4,3,3,4,3,4,4,4,6,6,5,3,4,3,5.25,4.5,2.2,4.75,4.75,3.8,3.6,3.8,5.666666666666667,3.3333333333333335,-0.3333333333333333,1.0
S1-0033,Similar-product,2,32,Female,6,7,4,4,3,1,4,4,5,4,1,1,1,5,6,6,3,3,3,5,4,4,4,4,4,4,4,4,6,5,4,3,4,3,4,5,6,4,4,4,4,3,4,3,4,4,4,5,4,3,4,4,3,2,4,4,3,4,5,6,4,4,4,4,4.0,4.75,3.6,4.75,3.75,3.6,3.6,3.4,5.0,4.0,-0.3333333333333333,-0.3333333333333333
S1-0034,Unrelated,0,32,Male,6,6,4,4,3,2,4,6,5,6,2,1,2,3,2,2,3,3,3,2,2,2,4,4,3,4,5,5,5,5,5,5,6,5,5,3,4,3,3,3,2,2,2,3,2,2,3,4,3,3,3,3,2,2,2,2,2,2,4,4,5,6,5,6,3.75,5.0,5.2,3.25,2.25,2.8,2.8,2.0,4.333333333333333,5.666666666666667,-0.3333333333333333,-0.3333333333333333
S1-0035,Similar-product,2,24,Female,5,5,3,5,5,2,6,3,2,5,1,2,1,6,6,6,4,4,3,5,5,5,4,4,4,5,5,4,5,4,4,5,4,3,4,4,4,4,4,3,3,4,3,3,3,3,4,5,4,5,3,5,5,4,4,4,5,4,3,4,4,3,3,4,4.25,4.5,4.0,4.0,3.25,3.2,4.4,4.2,3.6666666666666665,3.3333333333333335,-0.3333333333333333,-0.3333333333333333
S1-0036,Unrelated,0,42,Female,5,6,4,5,4,3,5,6,4,4,2,2,2,2,1,2,3,3,3,3,3,3,5,6,5,5,4,6,5,5,5,6,7,6,7,2,3,3,2,1,2,2,1,2,2,1,2,7,1,1,1,2,1,3,3,2,2,3,4,2,2,3,5,4,5.25,5.0,6.2,2.5,1.5,1.6,1.2,2.6,2.6666666666666665,4.0,-0.3333333333333333,-0.3333333333333333
S1-0037,Similar-product,2,19,Female,7,6,3,5,6,4,4,2,5,4,2,2,2,6,6,6,4,3,3,3,4,3,5,3,4,4,3,3,4,4,4,5,4,4,5,4,3,3,4,3,2,4,2,4,4,3,3,5,4,3,5,5,3,4,4,3,4,4,5,6,6,3,4,4,4.0,3.5,4.4,3.5,2.75,3.4,4.0,3.8,5.666666666666667,3.6666666666666665,-0.3333333333333333,-0.3333333333333333
S1-0038,Similar-product,2,33,Male,5,4,3,4,3,2,4,4,4,7,1,1,2,5,6,6,3,4,4,4,3,4,4,3,3,5,3,3,4,5,4,4,4,4,4,3,3,3,2,2,4,3,3,3,4,3,3,4,5,4,3,4,4,5,5,4,5,4,6,6,5,4,4,3,3.75,3.75,4.0,2.75,3.0,3.4,4.0,4.6,5.666666666666667,3.6666666666666665,-0.3333333333333333,-0.3333333333333333
S1-0039,Unrelated,0,34,Male,5,4,5,3,3,3,5,4,5,5,1,2,1,2,3,3,2,1,1,2,3,2,5,5,6,6,5,6,5,6,4,5,4,4,4,4,2,3,3,3,3,4,4,3,3,3,3,4,2,2,3,1,1,3,3,3,4,3,2,3,3,3,3,4,5.5,5.5,4.2,3.0,3.5,3.2,1.8,3.2,2.6666666666666665,3.3333333333333335,-0.3333333333333333,-0.3333333333333333
S1-0040,Similar-product,2,31,Female,5,4,1,5,5,2,6,5,7,7,3,2,3,5,5,5,4,4,4,3,4,3,5,5,5,4,6,4,6,4,5,4,4,5,5,4,3,4,3,3,2,3,4,3,2,3,2,6,3,3,4,3,2,4,4,4,5,4,6,4,4,3,2,3,4.75,5.0,4.6,3.5,3.0,2.4,3.0,4.2,4.666666666666667,2.6666666666666665,-0.3333333333333333,-0.3333333333333333
S1-0041,Same-product,1,45,Female,5,5,3,5,5,2,4,4,5,5,6,6,5,7,7,6,2,2,2,6,6,6,5,4,4,4,3,4,3,3,4,5,4,4,5,3,3,4,4,3,3,3,4,3,3,3,3,5,3,4,4,4,3,5,5,6,5,6,5,5,5,2,1,1,4.25,3.25,4.4,3.5,3.25,3.0,3.6,5.4,5.0,1.3333333333333333,1.0,-0.3333333333333333
S1-0042,Superior-alternative,3,37,Male,5,6,3,5,5,3,5,5,6,4,2,2,3,5,6,5,6,5,6,4,4,4,5,3,4,4,4,5,5,4,4,3,4,3,3,4,6,4,5,3,5,3,4,4,5,3,3,4,3,4,3,2,2,3,4,4,5,4,4,4,4,4,4,3,4.0,4.5,3.4,4.75,3.75,3.8,2.8,4.0,4.0,3.6666666666666665,-0.3333333333333333,1.0
S1-0043,Similar-product,2,39,Male,5,6,3,4,3,3,5,6,5,5,2,2,3,6,5,7,3,4,4,4,4,3,3,5,5,5,4,5,4,4,4,2,3,4,4,4,5,4,5,4,4,4,4,4,4,5,4,4,5,3,4,4,4,4,5,6,5,4,4,4,4,3,4,5,4.5,4.25,3.4,4.5,4.0,4.2,4.0,4.8,4.0,4.0,-0.3333333333333333,-0.3333333333333333
S1-0044,Superior-alternative,3,18,Female,5,7,3,3,6,3,5,4,5,3,2,1,1,6,6,7,5,5,5,3,4,4,4,4,4,5,6,5,5,5,3,4,3,3,2,5,4,4,4,5,5,5,5,4,5,5,4,2,3,5,4,5,4,5,5,5,5,5,6,5,6,3,2,3,4.25,5.25,3.0,4.25,5.0,4.8,4.2,5.0,5.666666666666667,2.6666666666666665,-0.3333333333333333,1.0
S1-0045,Similar-product,2,34,Male,4,5,4,5,5,4,3,4,3,4,2,1,2,5,5,6,3,4,3,4,4,4,5,6,4,5,5,4,5,5,4,5,5,4,4,4,5,4,4,4,3,3,3,2,3,5,4,4,3,3,3,3,3,3,3,3,4,3,5,5,4,3,4,4,5.0,4.75,4.4,4.25,3.25,3.6,3.0,3.2,4.666666666666667,3.6666666666666665,-0.3333333333333333,-0.3333333333333333
S1-0046,Unrelated,0,37,Female,7,5,5,4,6,5,4,4,4,5,1,1,2,3,2,3,2,2,1,2,2,1,7,6,6,6,6,6,7,6,3,4,4,3,3,2,2,2,4,3,3,3,4,3,1,2,2,6,2,2,1,1,1,3,3,3,3,2,3,3,3,4,4,5,6.25,6.25,3.4,2.5,3.25,2.0,1.4,2.8,3.0,4.333333333333333,-0.3333333333333333,-0.3333333333333333
S1-0047,Unrelated,0,44,Male,3,6,4,2,4,1,6,6,4,5,2,2,1,2,2,2,1,2,2,3,3,3,5,5,5,5,4,5,5,5,6,5,4,5,4,4,2,3,2,2,2,1,2,3,2,4,3,6,3,2,2,3,2,2,3,1,1,1,4,4,4,5,5,5,5.0,4.75,4.8,2.75,1.75,2.8,2.4,1.6,4.0,5.0,-0.3333333333333333,-0.3333333333333333
S1-0048,Unrelated,0,25,Male,5,5,4,3,5,5,4,5,5,4,2,2,2,2,2,1,2,1,2,1,2,2,6,6,5,5,5,4,4,5,4,4,4,4,5,1,3,3,2,1,2,1,1,2,2,2,2,6,3,3,4,4,3,3,4,3,2,2,3,2,2,3,4,3,5.5,4.5,4.2,2.25,1.25,2.0,3.4,2.8,2.3333333333333335,3.3333333333333335,-0.3333333333333333,-0.3333333333333333
S1-0049,Unrelated,0,31,Female,5,6,3,5,4,1,5,4,3,5,1,1,2,1,1,2,2,3,2,2,2,2,6,6,6,7,6,6,6,6,5,6,6,6,7,2,2,3,2,3,1,1,2,2,3,1,2,6,2,1,1,3,1,3,2,2,2,2,3,3,3,5,4,4,6.25,6.0,6.0,2.25,1.75,2.0,1.6,2.2,3.0,4.333333333333333,-0.3333333333333333,-0.3333333333333333
S1-0050,Same-product,1,41,Male,6,6,1,5,4,3,3,7,4,6,5,5,6,6,6,6,3,2,3,6,6,7,4,3,4,4,3,5,4,4,4,5,5,5,6,2,3,2,2,1,3,2,2,1,1,2,1,7,4,5,5,5,4,6,6,5,7,5,5,5,5,2,3,3,3.75,4.0,5.0,2.25,2.0,1.2,4.6,5.8,5.0,2.6666666666666665,1.0,-0.3333333333333333
S1-0051,Similar-product,2,33,Nonbinary/Other,6,5,3,6,6,4,6,6,3,5,1,1,1,5,5,5,4,4,3,4,4,4,5,4,5,5,5,5,5,5,5,3,5,4,4,3,3,2,3,2,2,3,3,3,3,3,2,4,4,4,3,5,4,6,5,5,6,6,5,5,6,3,3,2,4.75,5.0,4.2,2.75,2.5,3.0,4.0,5.6,5.333333333333333,2.6666666666666665,-0.3333333333333333,-0.3333333333333333
S1-0052,Similar-product,2,28,Male,6,5,1,3,4,1,4,4,4,6,2,1,2,5,6,7,3,3,3,4,4,5,3,4,3,4,3,5,3,3,4,4,5,6,6,3,4,2,3,3,2,3,3,2,2,3,2,6,4,4,4,4,5,4,5,4,4,5,5,5,5,5,4,4,3.5,3.5,5.0,3.0,2.75,2.2,4.2,4.4,5.0,4.333333333333333,-0.3333333333333333,-0.3333333333333333
S1-0053,Same-product,1,21,Female,5,6,2,3,4,4,5,3,3,6,6,6,7,6,5,7,3,2,2,5,5,5,4,5,4,5,4,5,3,4,5,6,5,6,6,1,2,1,2,1,2,2,2,3,2,3,2,6,6,5,5,5,5,5,5,5,6,5,5,4,4,2,3,1,4.5,4.0,5.6,1.5,1.75,2.4,5.2,5.2,4.333333333333333,2.0,1.0,-0.3333333333333333
S1-0054,Similar-product,2,19,Female,5,6,4,5,5,4,5,3,5,6,1,1,2,5,5,5,4,4,4,3,4,3,4,4,5,5,5,4,5,4,4,4,4,4,4,3,3,4,3,3,3,4,3,3,3,1,2,6,3,4,3,3,4,4,4,4,4,4,6,4,4,3,3,3,4.5,4.5,4.0,3.25,3.25,2.2,3.4,4.0,4.666666666666667,3.0,-0.3333333333333333,-0.3333333333333333
S1-0055,Unrelated,0,18,Male,4,7,3,3,7,3,3,5,4,5,2,2,2,2,3,2,2,2,2,2,2,2,5,5,5,7,6,6,6,5,6,6,5,6,5,2,2,3,2,1,2,1,2,1,1,2,2,6,3,3,2,2,2,4,4,4,4,3,5,5,5,5,5,4,5.5,5.75,5.6,2.25,1.5,1.6,2.4,3.8,5.0,4.666666666666667,-0.3333333333333333,-0.3333333333333333
S1-0056,Same-product,1,31,Male,5,4,2,5,3,6,5,5,7,4,5,6,6,5,6,6,4,3,3,5,6,5,3,3,3,5,4,3,4,3,4,4,4,6,4,3,3,3,3,4,4,4,4,2,3,3,2,6,5,4,5,4,5,5,5,5,6,5,5,5,4,2,2,2,3.5,3.5,4.4,3.0,4.0,2.4,4.6,5.2,4.666666666666667,2.0,1.0,-0.3333333333333333
S1-0057,Same-product,1,23,Female,5,6,3,6,4,2,7,3,4,4,6,7,7,6,5,6,3,3,3,6,5,5,4,4,4,5,4,4,4,5,5,5,5,6,5,3,3,2,3,3,3,3,3,3,3,3,3,5,4,5,4,4,4,5,5,5,5,5,6,7,6,3,2,3,4.25,4.25,5.2,2.75,3.0,3.0,4.2,5.0,6.333333333333333,2.6666666666666665,1.0,-0.3333333333333333
S1-0058,Same-product,1,53,Female,6,4,3,5,4,4,4,2,3,5,4,6,5,6,6,6,2,3,2,7,6,6,3,4,3,3,3,4,2,4,6,5,5,6,5,2,3,2,2,3,3,3,2,2,1,2,2,6,5,4,4,5,5,5,5,5,5,5,5,5,5,4,3,3,3.25,3.25,5.4,2.25,2.75,1.8,4.6,5.0,5.0,3.3333333333333335,1.0,-0.3333333333333333
S1-0059,Similar-product,2,38,Male,5,7,4,5,4,4,3,3,4,6,2,2,2,5,5,5,3,3,3,4,5,5,4,3,4,3,5,5,5,4,3,4,3,3,4,3,4,4,4,4,3,3,3,3,3,3,2,5,3,3,3,3,3,4,2,2,3,3,4,5,4,3,4,4,3.5,4.75,3.4,3.75,3.25,2.8,3.0,2.8,4.333333333333333,3.6666666666666665,-0.3333333333333333,-0.3333333333333333
S1-0060,Same-product,1,18,Male,6,5,3,6,4,3,7,3,6,5,5,6,6,6,6,6,4,3,2,5,5,6,4,3,4,3,4,4,4,3,5,5,5,5,7,4,2,3,2,3,3,3,3,3,3,2,3,5,4,3,4,4,5,6,6,7,6,6,4,5,4,3,2,3,3.5,3.75,5.4,2.75,3.0,2.8,4.0,6.2,4.333333333333333,2.6666666666666665,1.0,-0.3333333333333333
S1-0061,Unrelated,0,23,Female,4,5,4,7,5,3,6,4,6,4,2,2,1,2,2,2,2,2,2,3,2,3,6,5,5,5,5,5,6,5,5,6,6,6,5,2,2,2,2,3,2,1,3,2,2,2,2,6,1,1,2,1,1,3,3,2,3,2,5,4,3,5,4,4,5.25,5.25,5.6,2.0,2.25,2.0,1.2,2.6,4.0,4.333333333333333,-0.3333333333333333,-0.3333333333333333
S1-0062,Superior-alternative,3,31,Male,6,4,5,4,6,3,6,3,4,2,2,2,2,6,6,6,4,5,6,3,3,5,5,5,6,5,5,5,4,4,3,3,3,2,2,5,6,6,6,4,5,5,5,6,4,4,6,2,4,3,4,3,4,4,3,3,4,3,5,4,5,3,3,3,5.25,4.5,2.6,5.75,4.75,5.2,3.6,3.4,4.666666666666667,3.0,-0.3333333333333333,1.0
